date,value,series_id,source,connector
2025-09-24,112022.16587861195,BITCOIN,CRYPTO,crypto
2025-09-25,113320.56908541008,BITCOIN,CRYPTO,crypto
2025-09-26,108963.53013595635,BITCOIN,CRYPTO,crypto
2025-09-27,109710.20874667744,BITCOIN,CRYPTO,crypto
2025-09-28,109654.81021075726,BITCOIN,CRYPTO,crypto
2025-09-29,112142.57362752674,BITCOIN,CRYPTO,crypto
2025-09-30,114309.15041119447,BITCOIN,CRYPTO,crypto
2025-09-30,113265.59696357611,BITCOIN,CRYPTO,crypto
2025-09-24,4166.1905498775295,ETHEREUM,CRYPTO,crypto
2025-09-25,4148.65682762035,ETHEREUM,CRYPTO,crypto
2025-09-26,3863.0632875907245,ETHEREUM,CRYPTO,crypto
2025-09-27,4037.0979210260916,ETHEREUM,CRYPTO,crypto
2025-09-28,4018.167453105732,ETHEREUM,CRYPTO,crypto
2025-09-29,4141.839664086501,ETHEREUM,CRYPTO,crypto
2025-09-30,4215.61278947927,ETHEREUM,CRYPTO,crypto
2025-09-30,4170.5154231445385,ETHEREUM,CRYPTO,crypto
2025-09-24,1017.4645009307637,BINANCECOIN,CRYPTO,crypto
2025-09-25,1018.067792712729,BINANCECOIN,CRYPTO,crypto
2025-09-26,944.4003758447785,BINANCECOIN,CRYPTO,crypto
2025-09-27,960.6805874196078,BINANCECOIN,CRYPTO,crypto
2025-09-28,968.6806715896132,BINANCECOIN,CRYPTO,crypto
2025-09-29,993.2079048442275,BINANCECOIN,CRYPTO,crypto
2025-09-30,1030.030963111487,BINANCECOIN,CRYPTO,crypto
2025-09-30,1012.0779662934505,BINANCECOIN,CRYPTO,crypto
2025-09-24,0.8089077971236107,CARDANO,CRYPTO,crypto
2025-09-25,0.8123841509479168,CARDANO,CRYPTO,crypto
2025-09-26,0.7619264564902304,CARDANO,CRYPTO,crypto
2025-09-27,0.7913610637637805,CARDANO,CRYPTO,crypto
2025-09-28,0.7811470666284351,CARDANO,CRYPTO,crypto
2025-09-29,0.8080370823129959,CARDANO,CRYPTO,crypto
2025-09-30,0.80713373050909,CARDANO,CRYPTO,crypto
2025-09-30,0.792526870505656,CARDANO,CRYPTO,crypto
2025-09-24,214.17925267896382,SOLANA,CRYPTO,crypto
2025-09-25,211.59608812684968,SOLANA,CRYPTO,crypto
2025-09-26,192.18165357078567,SOLANA,CRYPTO,crypto
2025-09-27,205.1199454921513,SOLANA,CRYPTO,crypto
2025-09-28,203.5749247337909,SOLANA,CRYPTO,crypto
2025-09-29,210.7450481378904,SOLANA,CRYPTO,crypto
2025-09-30,212.92955681530267,SOLANA,CRYPTO,crypto
2025-09-30,207.299275159763,SOLANA,CRYPTO,crypto
2025-09-23,7.69,POLKADOT,CRYPTO,crypto
2025-09-24,6.39,POLKADOT,CRYPTO,crypto
2025-09-25,7.39,POLKADOT,CRYPTO,crypto
2025-09-26,6.34,POLKADOT,CRYPTO,crypto
2025-09-27,6.38,POLKADOT,CRYPTO,crypto
2025-09-28,6.82,POLKADOT,CRYPTO,crypto
2025-09-29,6.76,POLKADOT,CRYPTO,crypto
